node	target
0	32
0	1
0	2
0	91
0	4
0	37
0	7
0	43
0	15
0	81
0	18
0	20
0	24
0	25
0	59
0	29
0	69
1	34
1	3
1	5
1	6
1	8
1	10
1	46
1	47
1	58
2	26
2	66
2	23
3	85
4	33
4	99
4	54
4	90
4	93
4	31
5	72
6	68
7	64
7	35
7	70
7	9
7	63
8	11
9	12
9	13
9	14
10	98
12	83
12	19
12	78
12	87
13	56
13	27
13	30
13	17
14	48
14	36
14	71
14	80
14	44
14	77
14	16
14	21
14	22
14	41
15	55
16	75
16	51
17	60
17	28
17	53
18	74
21	38
22	88
23	73
23	92
23	94
23	39
30	67
31	82
33	40
33	45
35	49
35	97
37	57
38	42
44	76
44	65
44	52
49	50
57	61
58	95
59	62
60	96
64	89
64	79
70	84
84	86
